"Download Log","Preuzimanje Loga"
"Download Log (no file)","Dnevnik prenosa (brez datoteke)"
"Undefined","Nedoločeno"
English,Angleščina
Spanish,Španski
Bosnian,Bosanski
Croatian,Hrvaški
Purchase,Nakup
"Authorize Only","Samo avtorizacija"
"File not on disk.","Datoteka ni na disku."
"Order not found.","Naročila ni bilo mogoče najti."
"The payment has been denied: %1","Plačilo je bilo zavrnjeno: %1"
"The payment has been denied.","Plačilo je bilo zavrnjeno."
"Error processing payment, please try again later.","Napaka pri obdelavi plačila, poskusite znova pozneje."
"The payment has been accepted: %1","Plačilo je bilo sprejeto: %1"
"The payment has been accepted.","Plačilo je bilo sprejeto."
"There has been an issue processing your payment.","Pri obdelavi vašega plačila je prišlo do težave."
"Order: #%1","Vrstni red: #%1"
"The currency selected is not supported by Monri Payments.","Monri Payments ne podpira izbrane valute."
"Request has an invalid signature.","Zahteva ima neveljaven podpis."
"Place Order","Naročiti"
Title,Naslov
Language,Jezik
"Transaction Type","Vrsta transakcije"
Installments,Obročki
"Sandbox mode","Način peskovnika"
"Payment from Applicable Countries","Plačilo iz ustreznih držav"
"Payment from Specific Countries","Plačilo iz določenih držav"
"Gateway Configuration Information","Informacije o konfiguraciji prehoda"
"Number of Installments","Število obrokov"
"Debug","Odpravljanje napak"
"Obtain this value from your Monri Administration dashboard.","Pridobite to vrednost na nadzorni plošči Monri Administration."
"The language that will be used when a customer is redirected to Monri.","Jezik, ki bo uporabljen, ko bo stranka preusmerjena na Monri."
"Enter this into your Monri Administration dashboard.","To vnesite na nadzorno ploščo Monri Administration."
